tas,rlut,rsut,rsdt,pr,clt,tos
13.3397,238.232,103.149,341.568,1080.98,0.624621,17.815
13.3547,238.716,102.959,341.568,1080.46,0.622152,17.8454
13.3464,238.588,103.116,341.568,1081.57,0.622607,17.8094
13.3724,238.495,103.286,341.568,1081.52,0.622651,17.8522
13.2388,238.46,103.294,341.568,1079.37,0.622129,17.7438
13.2079,238.376,103.384,341.568,1081.9,0.625428,17.6723
13.1929,238.07,102.887,341.568,1078.78,0.624342,17.6874
13.3346,238.536,102.843,341.568,1078.68,0.622357,17.8049
13.5456,238.935,102.438,341.568,1083.8,0.620281,17.9657
13.4144,238.841,103.591,341.568,1084.91,0.624576,17.8416
13.3737,238.325,103.001,341.568,1081.15,0.62263,17.8561
13.5018,238.939,102.976,341.568,1085.52,0.619015,17.941
13.3442,238.428,103.914,341.568,1078.53,0.626475,17.7687
13.271,238.407,103.073,341.568,1076.57,0.621078,17.7531
13.1753,238.066,103.547,341.568,1078.19,0.623258,17.7022
13.2894,238.266,103.051,341.568,1074.95,0.623005,17.7803
13.5085,238.932,102.869,341.568,1083.67,0.621059,17.9091
13.3879,238.641,102.862,341.568,1081.51,0.619436,17.9004
13.506,238.801,103.059,341.568,1087.83,0.62319,17.9723
13.4394,238.572,103.224,341.568,1086.24,0.624894,17.8844
13.3705,238.62,103.371,341.568,1084.94,0.624451,17.8522
13.317,238.775,103.106,341.568,1081.94,0.621563,17.7968
13.1846,238.357,103.489,341.568,1075.21,0.62182,17.6824
13.2018,238.201,103.252,341.568,1075.7,0.623005,17.7403
13.3815,238.902,103.302,341.568,1077.3,0.621789,17.7559
13.1529,238.191,103.07,341.568,1075.73,0.623162,17.7202
13.4507,238.953,102.53,341.568,1085.5,0.621904,17.9475
13.4235,238.951,103.371,341.568,1085.25,0.623785,17.8438
13.3846,238.322,102.421,341.568,1079.29,0.621059,17.8746
13.4898,238.948,102.973,341.568,1089.87,0.621746,17.9206
