CO2,GHG Other,O3 (Trop),O3 (Strat),Aerosol (Total),LUC,H2O (Strat),BC Snow,Contrails,Solar,Volcano
0.631,0.315,0.183,-0.006,-0.455,-0.106,0.036,0.048,0.003,0.003,-0.1
0.641,0.323,0.188,-0.006,-0.47,-0.108,0.037,0.048,0.003,0.015,-0.05
0.651,0.332,0.193,-0.007,-0.485,-0.109,0.038,0.049,0.003,0.064,-0.025
0.662,0.341,0.198,-0.007,-0.5,-0.111,0.038,0.05,0.004,0.129,-0.025
0.673,0.349,0.203,-0.007,-0.515,-0.112,0.039,0.05,0.004,0.194,0.0
0.685,0.358,0.208,-0.008,-0.53,-0.114,0.04,0.051,0.004,0.159,0.0
0.698,0.366,0.213,-0.008,-0.546,-0.116,0.041,0.051,0.004,0.151,-0.125
0.709,0.374,0.218,-0.008,-0.563,-0.117,0.041,0.051,0.004,0.11,-0.275
0.719,0.383,0.223,-0.009,-0.58,-0.119,0.042,0.051,0.004,0.051,-0.325
0.727,0.392,0.228,-0.009,-0.598,-0.12,0.043,0.05,0.005,0.038,-1.15
0.735,0.402,0.233,-0.01,-0.615,-0.122,0.044,0.05,0.005,0.019,-1.8
0.748,0.412,0.239,-0.011,-0.632,-0.123,0.045,0.05,0.005,0.008,-1.075
0.762,0.424,0.244,-0.011,-0.65,-0.125,0.046,0.05,0.006,0.012,-0.575
0.778,0.437,0.249,-0.012,-0.667,-0.126,0.047,0.049,0.007,0.055,-0.375
0.794,0.451,0.254,-0.013,-0.684,-0.127,0.048,0.049,0.008,0.086,-0.675
0.811,0.466,0.259,-0.014,-0.701,-0.129,0.049,0.049,0.009,0.077,-0.85
0.828,0.483,0.264,-0.014,-0.719,-0.13,0.05,0.049,0.009,0.092,-0.425
0.846,0.5,0.27,-0.016,-0.722,-0.131,0.05,0.049,0.009,0.082,-0.15
0.865,0.519,0.277,-0.017,-0.725,-0.132,0.051,0.049,0.009,0.076,-0.1
0.885,0.538,0.284,-0.018,-0.728,-0.134,0.052,0.049,0.01,0.044,-0.2
0.904,0.558,0.29,-0.019,-0.732,-0.135,0.053,0.05,0.01,0.023,-0.325
0.92,0.578,0.297,-0.021,-0.735,-0.136,0.054,0.05,0.01,0.006,-0.75
0.938,0.598,0.304,-0.022,-0.738,-0.137,0.055,0.05,0.01,-0.003,-0.35
0.96,0.617,0.31,-0.024,-0.741,-0.138,0.056,0.05,0.011,0.04,-0.125
0.987,0.636,0.317,-0.026,-0.745,-0.138,0.057,0.051,0.011,0.129,-0.2
1.018,0.656,0.324,-0.027,-0.748,-0.139,0.058,0.051,0.012,0.167,-0.225
1.046,0.675,0.33,-0.029,-0.751,-0.14,0.059,0.051,0.012,0.15,-0.125
1.066,0.696,0.335,-0.031,-0.763,-0.141,0.061,0.051,0.012,0.147,-0.125
1.085,0.717,0.339,-0.033,-0.775,-0.141,0.062,0.05,0.012,0.094,-1.325
1.11,0.737,0.343,-0.035,-0.788,-0.142,0.063,0.05,0.012,0.091,-1.875
1.136,0.757,0.348,-0.037,-0.8,-0.143,0.064,0.049,0.013,0.016,-0.75
1.158,0.776,0.352,-0.038,-0.812,-0.143,0.065,0.049,0.014,0.011,-0.325
1.18,0.795,0.356,-0.04,-0.824,-0.144,0.065,0.049,0.015,0.012,-0.35
1.208,0.813,0.36,-0.042,-0.836,-0.144,0.066,0.048,0.016,0.015,-0.25
1.24,0.832,0.365,-0.044,-0.848,-0.145,0.067,0.048,0.017,0.095,-0.2
1.266,0.853,0.369,-0.046,-0.861,-0.145,0.067,0.047,0.018,0.151,-0.15
1.287,0.872,0.373,-0.048,-0.873,-0.146,0.068,0.047,0.019,0.118,-0.15
1.305,0.888,0.375,-0.05,-0.878,-0.146,0.068,0.046,0.019,0.126,-1.35
1.318,0.9,0.376,-0.052,-0.883,-0.146,0.069,0.045,0.02,0.137,-3.025
1.332,0.909,0.378,-0.054,-0.888,-0.147,0.069,0.045,0.022,0.063,-1.225
1.354,0.916,0.379,-0.055,-0.893,-0.147,0.069,0.044,0.024,0.027,-0.5
1.381,0.923,0.38,-0.056,-0.897,-0.147,0.07,0.043,0.025,0.02,-0.25
1.404,0.93,0.382,-0.057,-0.902,-0.148,0.07,0.043,0.027,0.003,-0.175
1.428,0.937,0.383,-0.057,-0.907,-0.148,0.07,0.042,0.028,0.016,-0.125
1.459,0.944,0.385,-0.057,-0.912,-0.148,0.071,0.041,0.029,0.062,-0.075
1.489,0.952,0.386,-0.056,-0.917,-0.148,0.071,0.041,0.031,0.104,-0.05
1.51,0.957,0.388,-0.056,-0.922,-0.149,0.071,0.04,0.033,0.127,-0.05
1.532,0.961,0.389,-0.055,-0.92,-0.149,0.071,0.04,0.033,0.114,-0.05
1.563,0.965,0.39,-0.055,-0.918,-0.149,0.071,0.04,0.033,0.108,-0.05
1.594,0.969,0.391,-0.054,-0.916,-0.149,0.071,0.04,0.034,0.042,-0.075
1.624,0.973,0.393,-0.053,-0.913,-0.149,0.071,0.04,0.038,0.012,-0.05
1.654,0.976,0.394,-0.053,-0.911,-0.149,0.071,0.04,0.04,-0.011,-0.075
1.684,0.981,0.395,-0.052,-0.909,-0.15,0.071,0.04,0.042,-0.016,-0.1
1.711,0.986,0.396,-0.052,-0.907,-0.15,0.071,0.04,0.044,-0.017,-0.1
1.736,0.992,0.398,-0.051,-0.904,-0.15,0.072,0.04,0.046,-0.025,-0.1
1.762,0.999,0.399,-0.051,-0.902,-0.15,0.072,0.04,0.044,-0.027,-0.125
1.789,1.005,0.4,-0.05,-0.9,-0.15,0.072,0.04,0.048,0.001,-0.1
1.816,1.015,0.4,-0.05,-0.9,-0.15,0.073,0.04,0.05,0.03,-0.125
