CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
3.34625,0.488548,0.275658,0.083805,0.146949,-0.032882,0.124275,-0.12275,-0.0619913,0.0523063,-0.1,-0.473352,0.0,0.30221,0.0836023,-0.229684,0.0615454,0.0,0.146252
3.3614,0.486381,0.277135,0.0841279,0.143933,-0.0325843,0.1226,-0.119809,-0.0611255,0.0516663,-0.1,-0.468959,0.0,0.299725,0.0832289,-0.229867,0.0607037,0.0,0.181191
3.37574,0.484121,0.278587,0.0844518,0.141015,-0.0322866,0.120926,-0.116868,-0.0602597,0.0510262,-0.1,-0.46453,0.0,0.297215,0.0828393,-0.23004,0.0598621,0.0,0.190562
3.38939,0.481789,0.280016,0.0847772,0.138195,-0.0319889,0.119251,-0.113928,-0.0593939,0.0503862,-0.1,-0.460064,0.0,0.294686,0.0824376,-0.230201,0.0590205,0.0,0.174151
3.40241,0.479406,0.281422,0.0851048,0.13547,-0.0316912,0.117577,-0.110987,-0.0585281,0.0497461,-0.1,-0.45556,0.0,0.292143,0.0820271,-0.230351,0.0581789,0.0,0.130187
3.41481,0.476993,0.282805,0.0854354,0.132836,-0.0313863,0.115887,-0.108174,-0.0576737,0.0490457,-0.1,-0.451059,0.0,0.289591,0.0816114,-0.23049,0.0573309,0.0,0.0860781
3.42653,0.474555,0.284164,0.0857688,0.130292,-0.0310669,0.114167,-0.105616,-0.0568421,0.0482244,-0.1,-0.446601,0.0,0.287032,0.0811914,-0.230617,0.0564701,0.0,0.0592681
3.4373,0.472059,0.285499,0.0861168,0.12783,-0.0307404,0.112432,-0.103186,-0.0560218,0.0473426,-0.1,-0.442149,0.0,0.284461,0.0807614,-0.23073,0.0556029,0.0,0.0431769
3.44693,0.469477,0.286808,0.086491,0.125448,-0.0304138,0.110697,-0.100755,-0.0552016,0.0464609,-0.1,-0.43766,0.0,0.281872,0.0803167,-0.23083,0.0547358,0.0,0.0322656
3.45543,0.466815,0.288091,0.0868901,0.12314,-0.0300872,0.108962,-0.0983248,-0.0543814,0.0455791,-0.1,-0.433133,0.0,0.27926,0.0798581,-0.230918,0.0538686,0.0,0.025655
3.46284,0.464078,0.289347,0.0873129,0.120904,-0.0297607,0.107227,-0.0958943,-0.0535611,0.0446974,-0.1,-0.428569,0.0,0.276628,0.0793868,-0.230992,0.0530014,0.0,0.0725287
3.46906,0.461246,0.290578,0.0877561,0.118734,-0.0294341,0.105491,-0.0934638,-0.0527409,0.0438156,-0.1,-0.423965,0.0,0.27397,0.0788991,-0.231054,0.0521343,0.0,0.146252
3.47413,0.45831,0.291783,0.0882173,0.116624,-0.0291075,0.103756,-0.0910333,-0.0519207,0.0429339,-0.1,-0.419322,0.0,0.271283,0.0783934,-0.231102,0.0512671,0.0,0.181191
3.47826,0.455303,0.292964,0.0886975,0.114573,-0.028781,0.102021,-0.0886028,-0.0511004,0.0420522,-0.1,-0.414638,0.0,0.268576,0.0778757,-0.231138,0.0503999,0.0,0.190562
3.48158,0.452293,0.294119,0.0892001,0.112581,-0.0284544,0.100286,-0.0861724,-0.0502802,0.0411704,-0.1,-0.409913,0.0,0.265867,0.0773575,-0.23116,0.0495327,0.0,0.174151
3.48415,0.449335,0.29525,0.0897277,0.110647,-0.0281927,0.0989048,-0.0842319,-0.0496318,0.0404652,-0.1,-0.406114,0.0,0.263169,0.0768481,-0.231173,0.0488436,0.0,0.130187
3.48598,0.446437,0.296356,0.0902799,0.108769,-0.0280606,0.0982313,-0.0832715,-0.049327,0.0401129,-0.1,-0.404224,0.0,0.260486,0.0763494,-0.231186,0.0485104,0.0,0.0860781
3.4877,0.443681,0.297445,0.090858,0.106945,-0.0279934,0.0979117,-0.0828012,-0.049194,0.0399371,-0.1,-0.403295,0.0,0.258594,0.0758749,-0.2312,0.0483552,0.0,0.0592681
3.48983,0.441125,0.298521,0.0914625,0.105172,-0.0279262,0.097592,-0.0823309,-0.0490611,0.0397613,-0.1,-0.402364,0.0,0.257508,0.0754348,-0.231218,0.0482,0.0,0.0431769
3.49225,0.43874,0.299586,0.0920922,0.103447,-0.0278589,0.0972724,-0.0818605,-0.0489281,0.0395855,-0.1,-0.401432,0.0,0.256466,0.0750245,-0.231238,0.0480448,0.0,0.0322656
3.49489,0.436507,0.300639,0.0927457,0.101767,-0.0277917,0.0969528,-0.0813902,-0.0487951,0.0394097,-0.1,-0.400498,0.0,0.255463,0.0746401,-0.231261,0.0478896,0.0,0.025655
3.49773,0.434406,0.301681,0.0934219,0.100131,-0.0277245,0.0966332,-0.0809198,-0.0486622,0.0392339,-0.1,-0.399563,0.0,0.254493,0.0742785,-0.231287,0.0477343,0.0,0.0725287
3.50063,0.432395,0.302712,0.0941177,0.0985333,-0.0276572,0.0963136,-0.0804495,-0.0485292,0.0390581,-0.1,-0.398627,0.0,0.253547,0.0739325,-0.231316,0.0475792,0.0,0.146252
3.50358,0.430449,0.303732,0.0948307,0.0969716,-0.02759,0.0959939,-0.0799792,-0.0483963,0.0388823,-0.1,-0.397689,0.0,0.252617,0.0735975,-0.231347,0.0474239,0.0,0.181191
3.50678,0.428575,0.304741,0.0955614,0.0954455,-0.0275228,0.0956743,-0.0795088,-0.0482633,0.0387065,-0.1,-0.396749,0.0,0.251706,0.073275,-0.231381,0.0472687,0.0,0.190562
3.51032,0.426779,0.305739,0.0963102,0.0939547,-0.0274551,0.0953523,-0.0790336,-0.0481312,0.0385265,-0.1,-0.395808,0.0,0.250814,0.072966,-0.231418,0.0471117,0.0,0.174151
3.51423,0.425065,0.306726,0.0970769,0.0924987,-0.0273866,0.0950255,-0.0785487,-0.0480008,0.0383379,-0.1,-0.394867,0.0,0.249944,0.0726711,-0.231457,0.0469509,0.0,0.130187
3.5185,0.423438,0.307703,0.0978604,0.0910773,-0.0273176,0.0946964,-0.0780588,-0.0478714,0.038145,-0.1,-0.393925,0.0,0.249096,0.0723912,-0.231499,0.0467883,0.0,0.0860781
3.52304,0.42189,0.30867,0.0986587,0.0896891,-0.0272487,0.0943672,-0.077569,-0.0477419,0.0379521,-0.1,-0.392981,0.0,0.248269,0.0721249,-0.231544,0.0466257,0.0,0.0592681
