NAmerica,S&CAmerica,Europe,NA&ME,Africa,FSU,China,S&SEAsia,PCDV
0.02,1.656,0.0,0.0,2.2,0.364,0.577,1.22,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.577,1.22,0.22
0.02,1.656,0.0,0.0,2.2,0.0,0.577,1.22,0.22
0.02,0.958,0.0,0.0,3.0,0.0,0.065,1.04,0.03
0.02,0.958,0.0,0.0,3.0,0.0,0.065,1.04,0.03
0.02,0.958,0.0,0.0,3.0,0.0,0.065,1.54,0.03
0.02,0.958,0.0,0.0,3.0,0.0,0.065,1.54,0.03
0.02,0.958,0.0,0.0,3.0,0.0,0.065,1.54,0.03
0.02,0.958,0.0,0.0,3.0,0.038,0.065,2.163,0.03
0.02,0.958,0.0,0.0,3.0,0.038,0.065,2.163,0.03
0.02,0.958,0.0,0.0,3.0,0.038,0.065,2.163,0.03
0.02,0.958,0.0,0.0,3.678,0.038,0.065,2.163,0.03
0.02,0.958,0.0,0.0,3.678,0.038,0.065,2.163,0.03
0.0,0.434,0.0,0.0,4.0,0.038,0.0,3.953,0.051
0.0,0.434,0.0,0.0,4.0,0.022,0.0,3.953,0.051
0.0,0.434,0.0,0.0,4.0,0.022,0.0,3.953,0.051
0.0,0.434,0.0,0.0,4.0,0.022,0.0,3.953,0.051
0.0,0.434,0.0,0.0,4.0,0.022,0.0,3.953,0.051
0.0,0.434,0.0,0.0,5.1,0.0,0.0,3.953,0.051
0.0,0.434,0.0,0.0,5.1,0.0,0.0,3.692,0.051
0.0,0.434,0.0,0.0,5.1,0.0,0.0,3.692,0.051
0.0,0.434,0.0,0.0,5.1,0.0,0.0,3.692,0.051
0.0,0.434,0.0,0.0,5.1,0.0,0.0,3.692,0.051
0.0,0.434,0.0,0.0,6.0,0.0,0.0,3.692,0.051
